movie_title,imdb_link
Ferris Beuller's Day Off,http://www.imdb.com/title/tt0091042
Day Breakers,http://www.imdb.com/title/tt0433362
Moon,http://www.imdb.com/title/tt1182345
Bill and Ted's Excellent Adventure,http://www.imdb.com/title/tt0096928
Boondock Saints,http://www.imdb.com/title/tt0144117
Boondock Saints 2,http://www.imdb.com/title/tt1300851
Alice In Wonderland,http://www.imdb.com/title/tt1014759
West Side Story,http://www.imdb.com/title/tt0055614
Hip Hop: Beyond Beats and Rhymes,http://www.imdb.com/title/tt1373146
Food,http://www.imdb.com/title/tt0104285
Kick-Ass,http://www.imdb.com/title/tt1250777
The Usual Suspects,http://www.imdb.com/title/tt0114814
An Education,http://www.imdb.com/title/tt1174732
Iron Man 2,http://www.imdb.com/title/tt1228705
Burn After Reading,http://www.imdb.com/title/tt0887883
Julie and Julia,http://www.imdb.com/title/tt1135503
Momento,http://www.imdb.com/title/tt0793424
King Corn,http://www.imdb.com/title/tt0087050
Gamer,http://www.imdb.com/title/tt1034032
Up,http://www.imdb.com/title/tt1049413
The Informant!,http://www.imdb.com/title/tt1130080
Inception,http://www.imdb.com/title/tt1375666
Red Cliff: Part 1,http://www.imdb.com/title/tt0425637
Red Cliff: Part 2,http://www.imdb.com/title/tt1326972
Man on Fire,http://www.imdb.com/title/tt0328107
Edge of Darkness,http://www.imdb.com/title/tt1226273
The Girl With the Dragon Tattoo,http://www.imdb.com/title/tt1568346
The Girl Who Played With Fire,http://www.imdb.com/title/tt1216487
The Girl Who Kicked the Hornet's Nest,http://www.imdb.com/title/tt1343097
Taxi Driver,http://www.imdb.com/title/tt0075314
Jackie Brown,http://www.imdb.com/title/tt0119396
The Godfather: Part I,http://www.imdb.com/title/tt0071562
Helvetica,http://www.imdb.com/title/tt0847817
When Harry Met Sally,http://www.imdb.com/title/tt0098635
How to Train Your Dragon,http://www.imdb.com/title/tt0892769
Lock,http://www.imdb.com/title/tt0208092
Big,http://www.imdb.com/title/tt0094737
Chinatown,http://www.imdb.com/title/tt0071315
Due Date,http://www.imdb.com/title/tt1231583
Groundhog Day,http://www.imdb.com/title/tt0107048
Annie Hall,http://www.imdb.com/title/tt0075686
Surrogates,http://www.imdb.com/title/tt0986263
Scott Pilgrim vs. The World,http://www.imdb.com/title/tt0446029
Drag Me To Hell,http://www.imdb.com/title/tt1127180
Killers,http://www.imdb.com/title/tt1103153
Tron: Legacy,http://www.imdb.com/title/tt1104001
The Other Guys,http://www.imdb.com/title/tt1386588
Get Him To The Greek,http://www.imdb.com/title/tt1226229
Black Swan,http://www.imdb.com/title/tt0947798
Dinner With Schmucks,http://www.imdb.com/title/tt1854264
Let The Right One In,http://www.imdb.com/title/tt1139797
Kiss Kiss Bang Bang,http://www.imdb.com/title/tt0373469
Eternal Sunshine of the Spotless Mind,http://www.imdb.com/title/tt0338013
Se7en,http://www.imdb.com/title/tt0114369
Princess Mononoke,http://www.imdb.com/title/tt0119698
Scarface,http://www.imdb.com/title/tt0086250
Freakonomics,http://www.imdb.com/title/tt1152822
12th and Delaware,http://www.imdb.com/title/tt1548865
There Will Be Blood,http://www.imdb.com/title/tt0469494
Snatch.,http://www.imdb.com/title/tt0208092
Date Night,http://www.imdb.com/title/tt1279935
Prince of Persia,http://www.imdb.com/title/tt0473075
Waiting For Superman,http://www.imdb.com/title/tt1566648
Women in Trouble,http://www.imdb.com/title/tt0068555
Event Horizon,http://www.imdb.com/title/tt0119081
Sharktopus,http://www.imdb.com/title/tt1619880
Easy A,http://www.imdb.com/title/tt1282140
Pontypool,http://www.imdb.com/title/tt1226681
The Green Hornet,http://www.imdb.com/title/tt0990407
28 Days Later,http://www.imdb.com/title/tt0289043
Watchmen,http://www.imdb.com/title/tt0409459
Objectified,http://www.imdb.com/title/tt1241325
10 Things I Hate About You,http://www.imdb.com/title/tt0147800
Brokeback Mountain,http://www.imdb.com/title/tt0388795
Transcendent Man,http://www.imdb.com/title/tt1117394
Species,http://www.imdb.com/title/tt0114508
A Single Man,http://www.imdb.com/title/tt1315981
Resident Evil: Afterlife,http://www.imdb.com/title/tt0432021
The Hangover Part II,http://www.imdb.com/title/tt1411697
Silence of the Lambs,http://www.imdb.com/title/tt0102926
Salt,http://www.imdb.com/title/tt0944835
Hot Tub Time Machine,http://www.imdb.com/title/tt1231587
Rubber,http://www.imdb.com/title/tt1612774
True Grit,http://www.imdb.com/title/tt1403865
From Dusk till Dawn,http://www.imdb.com/title/tt0116367
Up In The Air,http://www.imdb.com/title/tt1193138
Super 8,http://www.imdb.com/title/tt1650062
Panic Room,http://www.imdb.com/title/tt0258000
Toy Story 3,http://www.imdb.com/title/tt0435761
Minority Report,http://www.imdb.com/title/tt0181689
Harry Potter and the Deathy Hallows Part II (in German),http://www.imdb.com/title/tt1680310
Das Wunder von Bern (The Miracle of Bern),http://www.imdb.com/title/tt1206326
Der Leben Der Anderen (The Lives of Others),http://www.imdb.com/title/tt1853719
Fast Five,http://www.imdb.com/title/tt1596343
Rio,http://www.imdb.com/title/tt1436562
Girl Walks Into A Bar,http://www.imdb.com/title/tt1682246
Machete,http://www.imdb.com/title/tt0985694
Midnight in Paris,http://www.imdb.com/title/tt1605783
Lethal Weapon,http://www.imdb.com/title/tt0093409
Dirty Harry,http://www.imdb.com/title/tt0066999
X-Men: First Class,http://www.imdb.com/title/tt1270798
Bridesmaids,http://www.imdb.com/title/tt1478338
Your Highness,http://www.imdb.com/title/tt1240982
The Shawshank Redemption,http://www.imdb.com/title/tt0111161
Contagion,http://www.imdb.com/title/tt1598778
Sherlock Holmes,http://www.imdb.com/title/tt0988045
7 Years in Tibet,http://www.imdb.com/title/tt0120102
Horrible Bosses,http://www.imdb.com/title/tt1499658
Mean Girls,http://www.imdb.com/title/tt0377092
Drive,http://www.imdb.com/title/tt0780504
Smokin' Aces,http://www.imdb.com/title/tt0475394
50/50,http://www.imdb.com/title/tt1306980
Shaolin,http://www.imdb.com/title/tt0286112
My Neighbor Totoro,http://www.imdb.com/title/tt0096283
The Game,http://www.imdb.com/title/tt0119174
Le Fabuleux Destin D'Amélie Poulain,http://www.imdb.com/title/tt0211915
Punching the Clown,http://www.imdb.com/title/tt1192624
The Departed,http://www.imdb.com/title/tt0407887
Layer Cake,http://www.imdb.com/title/tt0375912
Sherlock Holmes: A Game of Shadows,http://www.imdb.com/title/tt1515091
Mission: Impossible Ghost Protocol,http://www.imdb.com/title/tt1229238
Ronin,http://www.imdb.com/title/tt0122690
Shooter,http://www.imdb.com/title/tt0822854
Crazy Stupid Love,http://www.imdb.com/title/tt1570728
Red State,http://www.imdb.com/title/tt0873886
Johnny English Reborn,http://www.imdb.com/title/tt1634122
The Girl With the Dragon Tattoo (2011 US),http://www.imdb.com/title/tt2624470
21,http://www.imdb.com/title/tt0478087
The Devil Wears Prada,http://www.imdb.com/title/tt0458352
Harold and Kumar 3D Christmas,http://www.imdb.com/title/tt1268799
Goodfellas,http://www.imdb.com/title/tt0099685
The Expendables,http://www.imdb.com/title/tt1320253
The Rocky Horror Picture Show,http://www.imdb.com/title/tt0073629
Law Abiding Citizen,http://www.imdb.com/title/tt1197624
The Town,http://www.imdb.com/title/tt0840361
Young Adult,http://www.imdb.com/title/tt1625346
Crash,http://www.imdb.com/title/tt0375679
No Country for Old Men,http://www.imdb.com/title/tt0477348
The Muppets Movie,http://www.imdb.com/title/tt1204342
God Bless America,http://www.imdb.com/title/tt1912398
Shame,http://www.imdb.com/title/tt1723811
Network,http://www.imdb.com/title/tt0074958
Haywire,http://www.imdb.com/title/tt1506999
Contraband,http://www.imdb.com/title/tt1524137
Chronicle,http://www.imdb.com/title/tt1706593
Battle Royale,http://www.imdb.com/title/tt0266308
Captain America: The First Avenger,http://www.imdb.com/title/tt0458339
Thor,http://www.imdb.com/title/tt0800369
The Avengers,http://www.imdb.com/title/tt0848228
The Hunger Games,http://www.imdb.com/title/tt1392170
The Prestige,http://www.imdb.com/title/tt0482571
The Enforcer,http://www.imdb.com/title/tt0074483
Sudden Impact,http://www.imdb.com/title/tt0086383
The Dead Pool,http://www.imdb.com/title/tt0094963
The Lookout,http://www.imdb.com/title/tt0427470
Man on the Moon,http://www.imdb.com/title/tt0125664
Paul,http://www.imdb.com/title/tt1092026
Breakfast at Tiffanys,http://www.imdb.com/title/tt0054698
The Truman Show,http://www.imdb.com/title/tt0120382
Prometheus,http://www.imdb.com/title/tt1446714
Knight and Day,http://www.imdb.com/title/tt1013743
Jeff,http://www.imdb.com/title/tt1588334
Ted,http://www.imdb.com/title/tt1637725
Lockout,http://www.imdb.com/title/tt1592525
The Dark Knight Rises,http://www.imdb.com/title/tt1345836
Colombiana,http://www.imdb.com/title/tt1657507
The Room,http://www.imdb.com/title/tt0368226
Sleepwalk With Me,http://www.imdb.com/title/tt2077851
End of Watch,http://www.imdb.com/title/tt1855199
Looper,http://www.imdb.com/title/tt1276104
Donnie Darko,http://www.imdb.com/title/tt0246578
The Big Lebowski,http://www.imdb.com/title/tt0118715
Pitch Perfect,http://www.imdb.com/title/tt1981677
Two Days in New York,http://www.imdb.com/title/tt0462347
Skyfall,http://www.imdb.com/title/tt1074638
Cloud Atlas,http://www.imdb.com/title/tt1371111
Good Will Hunting,http://www.imdb.com/title/tt0119217
The Fountain,http://www.imdb.com/title/tt0414993
The Ref,http://www.imdb.com/title/tt0110955
Twister,http://www.imdb.com/title/tt0117998
Man On Wire,http://www.imdb.com/title/tt1155592
Resident Evil: Retribution,http://www.imdb.com/title/tt1855325
Damsels in Distress,http://www.imdb.com/title/tt1667307
The Ides of March,http://www.imdb.com/title/tt1124035
Moneyball,http://www.imdb.com/title/tt1210166
Gone in 60 Seconds,http://www.imdb.com/title/tt0187078
Sleeping With The Enemy,http://www.imdb.com/title/tt0102945
The Descendants,http://www.imdb.com/title/tt1033575
Blue Valentine,http://www.imdb.com/title/tt1120985
Gangster Squad,http://www.imdb.com/title/tt1321870
A Beautiful Mind,http://www.imdb.com/title/tt0268978
Five Centimeters A Second,http://www.imdb.com/title/tt0983213
Side Effects,http://www.imdb.com/title/tt2053463
A Fistfull of Dollars,http://www.imdb.com/title/tt0058461
A Few Dollars More,http://www.imdb.com/title/tt0059578
Jackass 3,http://www.imdb.com/title/tt1116184
Emma,http://www.imdb.com/title/tt0116191
Zero Dark Thirty,http://www.imdb.com/title/tt1790885
Iron Man 3,http://www.imdb.com/title/tt1300854
Star Trek Into Darkness,http://www.imdb.com/title/tt1408101
A Good Day to Die Hard,http://www.imdb.com/title/tt1606378
Fast & Furious 6,http://www.imdb.com/title/tt1905041
The Dictator,http://www.imdb.com/title/tt1645170
Silver Lining Playbook,http://www.imdb.com/title/tt1045658
Breach,http://www.imdb.com/title/tt0401997
Funny People,http://www.imdb.com/title/tt1201167
Saturday Night Fever,http://www.imdb.com/title/tt0076666
Stepmom,http://www.imdb.com/title/tt0120686
Argo,http://www.imdb.com/title/tt1024648
The Place Beyond The Pines,http://www.imdb.com/title/tt1817273
Admission,http://www.imdb.com/title/tt1814621
Jerry McGuire,http://www.imdb.com/title/tt0116695
Identity Thief,http://www.imdb.com/title/tt2024432
Limitless,http://www.imdb.com/title/tt1219289
The Expendables 2,http://www.imdb.com/title/tt1764651
The World's End,http://www.imdb.com/title/tt1213663
Extract,http://www.imdb.com/title/tt1225822
Another Gay Movie,http://www.imdb.com/title/tt0443431
This Is The End,http://www.imdb.com/title/tt1245492
The Great Gatsby,http://www.imdb.com/title/tt1343092
The Others,http://www.imdb.com/title/tt0230600
White House Down,http://www.imdb.com/title/tt2334879
JFK,http://www.imdb.com/title/tt0102138
Kick Ass 2,http://www.imdb.com/title/tt1650554
The Core,http://www.imdb.com/title/tt0298814
The Graduate,http://www.imdb.com/title/tt0061722
12 Years a Slave,http://www.imdb.com/title/tt2024544
Flatliners,http://www.imdb.com/title/tt0099582
Much Ado About Nothing,http://www.imdb.com/title/tt0107616
Jobs,http://www.imdb.com/title/tt2357129
Captain America: The Winter Soldier,http://www.imdb.com/title/tt1843866
The Hangover: Part 3,http://www.imdb.com/title/tt1951261
Maleficent,http://www.imdb.com/title/tt1587310
American Hustle,http://www.imdb.com/title/tt1800241
The Illusionist,http://www.imdb.com/title/tt0443543
Lucy,http://www.imdb.com/title/tt2872732
Neighbors,http://www.imdb.com/title/tt2004420
Guardians of the Galaxy,http://www.imdb.com/title/tt2015381
Chef,http://www.imdb.com/title/tt2883512
X-Men: Days of the Future Past,http://www.imdb.com/title/tt1877832
Boyhood,http://www.imdb.com/title/tt1065073
Jaws,http://www.imdb.com/title/tt0073195
Before Sunrise,http://www.imdb.com/title/tt0112471
Zodiac,http://www.imdb.com/title/tt0443706
Prisoners,http://www.imdb.com/title/tt1392214
The Shining,http://www.imdb.com/title/tt0081505
Nightcrawler,http://www.imdb.com/title/tt2872718
Somm,http://www.imdb.com/title/tt0106582
Trading Spaces,http://www.imdb.com/title/tt0278249
The Interview,http://www.imdb.com/title/tt2788710
Spinning Plates,http://www.imdb.com/title/tt2014351
Birdman,http://www.imdb.com/title/tt2562232
Whiplash,http://www.imdb.com/title/tt2582802
The Imitation Game,http://www.imdb.com/title/tt2084970
Avengers: Age of Ultron,http://www.imdb.com/title/tt2395427
Kingsmen: The Secret Service,http://www.imdb.com/title/tt2802144
Taken 3,http://www.imdb.com/title/tt2446042
Ted 2,http://www.imdb.com/title/tt2637276
Wolfpack,http://www.imdb.com/title/tt0066064
Swingers,http://www.imdb.com/title/tt0117802
